"","sub","label","sulcal_width_mm","hemi"
"478",128127,"spls",0.928533492340017,"lh"
"479",133928,"spls",0.899672836716476,"lh"
"480",144125,"spls",0.692501633649879,"lh"
"481",146937,"spls",0.643930867477021,"lh"
"482",151425,"spls",1.04203858185551,"lh"
"483",151829,"spls",1.33816071814349,"lh"
"484",164939,"spls",1.14680268042721,"lh"
"485",168240,"spls",0.781047145095202,"lh"
"486",176744,"spls",0.897509357211344,"lh"
"487",180937,"spls",1.25301649111944,"lh"
"488",185947,"spls",1.3770818868709,"lh"
"489",214019,"spls",NA,"lh"
"490",268749,"spls",0.997061945966348,"lh"
"491",365343,"spls",0.899481613522966,"lh"
"492",380036,"spls",1.24532682649658,"lh"
"493",517239,"spls",0.80159209858021,"lh"
"494",522434,"spls",0.883833419118541,"lh"
"495",531536,"spls",0.946618271391859,"lh"
"496",566454,"spls",0.950093874254503,"lh"
"497",585256,"spls",1.10012339316362,"lh"
"498",622236,"spls",0.815092065886019,"lh"
"499",644044,"spls",0.761375158955322,"lh"
"500",679770,"spls",0.957765145958152,"lh"
"501",687163,"spls",1.10184840885638,"lh"
"502",867468,"spls",0.862252106499893,"lh"
"503",910241,"spls",0.959436702718707,"lh"
"504",959574,"spls",1.51215329334997,"lh"
"505",100206,"ifrms",0.908429236611444,"lh"
"506",100307,"ifrms",0.957828869681596,"lh"
"507",100408,"ifrms",0.753476906395148,"lh"
"508",100610,"ifrms",1.06122302264037,"lh"
"509",101006,"ifrms",0.89901687417335,"lh"
"510",101107,"ifrms",NA,"lh"
"511",101309,"ifrms",0.692143820969265,"lh"
"512",101410,"ifrms",0.2703626974074,"lh"
"513",101915,"ifrms",0.558675008357081,"lh"
"514",102008,"ifrms",NA,"lh"
"515",102311,"ifrms",0.625084425014312,"lh"
"516",102513,"ifrms",0.609633361485008,"lh"
"517",102816,"ifrms",0.867266801411617,"lh"
"518",103111,"ifrms",1.19541248860913,"lh"
"519",103414,"ifrms",1.1256083915727,"lh"
"520",103515,"ifrms",1.62054690659266,"lh"
"521",103818,"ifrms",0.872255656145752,"lh"
"522",104416,"ifrms",NA,"lh"
"523",104820,"ifrms",1.2819481604889,"lh"
"524",105014,"ifrms",0.550113986774726,"lh"
"525",105115,"ifrms",0.305630817689327,"lh"
"526",105216,"ifrms",0.935198266835138,"lh"
"527",105620,"ifrms",0.701837157982165,"lh"
"528",106016,"ifrms",1.37580104399764,"lh"
"529",106319,"ifrms",1.21426924796399,"lh"
"530",106521,"ifrms",1.01188849836346,"lh"
"531",107018,"ifrms",0.364632966137685,"lh"
"532",107220,"ifrms",1.04120238017549,"lh"
"533",107321,"ifrms",0.806012526692594,"lh"
"534",107422,"ifrms",1.33232505995083,"lh"
"535",107725,"ifrms",0.949150289082217,"lh"
"536",108121,"ifrms",1.05128850588932,"lh"
"537",108222,"ifrms",0.955811124422566,"lh"
"538",108323,"ifrms",1.17571487783437,"lh"
"539",108525,"ifrms",0.503758458571018,"lh"
"540",108828,"ifrms",1.18557102279281,"lh"
"541",109123,"ifrms",1.37771077591013,"lh"
"542",109325,"ifrms",0.741500590711276,"lh"
"543",109830,"ifrms",0.546492393011309,"lh"
"544",110007,"ifrms",NA,"lh"
"545",110411,"ifrms",0.777998329032589,"lh"
"546",110613,"ifrms",0.96629681965023,"lh"
"547",112920,"ifrms",1.78071155554716,"lh"
"548",114924,"ifrms",NA,"lh"
"549",120111,"ifrms",0.729748928719104,"lh"
"550",128127,"ifrms",1.00960806260655,"lh"
"551",133928,"ifrms",0.842778507715815,"lh"
"552",144125,"ifrms",1.27278102715357,"lh"
"553",146937,"ifrms",1.0206101423195,"lh"
"554",151425,"ifrms",0.956541303101808,"lh"
"555",151829,"ifrms",NA,"lh"
"556",164939,"ifrms",NA,"lh"
